File Name,Duration,ttc,ttc2
0RJPQ_97dcs_000199,10.7,4.0,7.0
0RJPQ_97dcs_000307,7.9,2.3,5.3
0RJPQ_97dcs_000897,29.1,15.5,20.8
0RJPQ_97dcs_001437,11.1,3.7,4.9
0RJPQ_97dcs_001640,6.8,5.9,6.8
0RJPQ_97dcs_001878,9.5,1.0,2.9
0RJPQ_97dcs_001974,13.4,4.3,7.9
0RJPQ_97dcs_002194,10.1,0.5,1.6
0RJPQ_97dcs_002296,11.2,6.5,8.6
0RJPQ_97dcs_002409,10.0,5.2,9.2
0RJPQ_97dcs_002510,9.3,2.6,5.9
0RJPQ_97dcs_002961,14.5,7.4,10.1
0RJPQ_97dcs_003335,13.9,1.8,6.6
0RJPQ_97dcs_003603,12.3,5.4,6.7
0RJPQ_97dcs_004276,7.4,2.5,4.7
0RJPQ_97dcs_004351,9.1,3.8,6.5
0RJPQ_97dcs_004701,8.9,4.7,8.1
0RJPQ_97dcs_004867,8.9,4.2,7.0
0RJPQ_97dcs_005140,8.2,2.5,4.2
0qfbmt4G8Rw_000306,12.8,6.5,10.8
0qfbmt4G8Rw_000435,16.6,5.7,16.6
0qfbmt4G8Rw_000602,15.7,4.0,15.7
0qfbmt4G8Rw_000760,10.9,6.0,9.0
0qfbmt4G8Rw_000870,9.9,4.6,7.1
0qfbmt4G8Rw_000970,8.9,4.6,6.1
0qfbmt4G8Rw_001060,14.0,5.1,10.8
0qfbmt4G8Rw_001417,8.3,3.9,6.0
0qfbmt4G8Rw_001501,10.0,3.7,6.6
0qfbmt4G8Rw_001753,8.9,5.3,6.6
0qfbmt4G8Rw_001843,10.9,4.4,9.7
0qfbmt4G8Rw_002376,9.9,5.2,7.3
0qfbmt4G8Rw_002566,9.6,4.6,7.3
0qfbmt4G8Rw_002663,9.9,5.6,7.8
0qfbmt4G8Rw_002763,9.2,2.7,6.0
0qfbmt4G8Rw_002856,10.2,3.2,6.7
0qfbmt4G8Rw_002959,10.8,3.7,6.7
0qfbmt4G8Rw_003068,26.7,3.0,22.2
0qfbmt4G8Rw_003336,10.3,3.9,8.5
0qfbmt4G8Rw_003440,11.0,4.4,7.8
